LOG NAME,LOG TYPE,LEVEL,KNOWLEDGE DESCRIPTION,ACTION,TOOL
DAEMON-4-COSD_OUT_OF_DEDICATED_QUEUES,warn,critical,Số lượng hàng đợi của Sub qua cao,clear lock out  + kill session,Telegram
DAEMON-4-DCD_PARSE_ERROR_HIER_SCHEDULER,warn,info,Không hỗ trợ QoS trong interface,"Đây là thông báo , không phải lỗi",Telegram
DAEMON-4-DCD_PARSE_ERROR_SCHEDULER,warn,info,Không hỗ trợ QoS trong interface,"Đây là thông báo , không phải lỗi",Telegram
DAEMON-4-DCD_PARSE_WARN_IDENTICAL_SUBNET,warn,info,Cảnh báo trùng subnet,Xem lại cấu hình,Báo bộ phận liên quan
DAEMON-4-DDOS_PROTOCOL_VIOLATION_CLEAR,warn,critical,Hệ thống phát hiện DDOS  thông báo traffic đã trở lại bình thường,"Đây là thông báo , không phải lỗi",Telegram + tạo SC + báo bộ phận liên quan
DAEMON-4-DDOS_PROTOCOL_VIOLATION_SET,warn,critical,Cảnh báo hệ thống phát hiện có DDOS tấn công,"Xem lại cấu hình mạng , và chặn ip gây ra DDOS",Telegram + tạo SC + báo bộ phận liên quan
DAEMON-4-JTASK_CFG_CALLBACK_LONGRUNTIME,warn,critical,"Cảnh báo modul  đã chạy quá lâu , sẽ gây giảm hiệu suất khi hoạt động",Kiểm tra bảo trì bảo dưỡng định kỳ,Báo bộ phận liên quan
DAEMON-4-JTASK_CFG_SCHED_CUMU_LONGRUNTIME,warn,critical,Cảnh báo modul chạy quá tải làm cho quá trình hoạt động sẽ gây ra sai sót,Kiểm tra bảo trì bảo dưỡng định kỳ,Báo bộ phận liên quan
DAEMON-4-L2ALD_DEFAULT_VLAN_DISABLED,warn,info,Cảnh báo Vlan mặc định đã bị tắt do  tồn tại 1 cấu hình trùng với vlan id 1,"Kiểm cấu hình mạng, xóa cấu hình trùng đấy",Telegram + báo bộ phận liên quan
DAEMON-4-L2ALD_MAC_LIMIT_REACHED_IFBD,warn,critical,Cảnh báo giới hạn học MAC của 1 interface,Tăng giá trị MAC mà 1 interface có thể học,Telegram + báo bộ phận liên quan
DAEMON-4-L2ALD_MAC_LIMIT_RESET_BD,warn,info,Mac có thể được thêm vào RT,"Cái này chỉ là thông báo, không phải lỗi",Telegram
DAEMON-4-L2ALD_MAC_LIMIT_RESET_IF,warn,info,Mac có thể được thêm vào interface,"Cái này chỉ là thông báo, không phải lỗi",Telegram
DAEMON-4-L2ALD_MAC_MOVE_NOTIFICATION,warn,critical,"Cảnh báo MAC-MOVE ,địa chỉ MAC có nhiều ở inteface giống hoặc khác nhau dẫn đến dễ bị loop khi truyền và lỗi cấu hinh",Kiểm tra cấu hình và clear mac-move,Telegram + báo bộ phận liên quan
DAEMON-4-L2ALD_MAC_MOVE_NOTIF_EXTENSIVE,warn,critical,"Cảnh báo MAC-MOVE ,địa chỉ MAC có nhiều ở inteface giống hoặc khác nhau dẫn đến dễ bị loop khi truyền và lỗi cấu hinh",Kiểm tra cấu hình và clear mac-move,Telegram + báo bộ phận liên quan
DAEMON-4-LIBJSNMP_NS_LOG_WARNING,warn,critical,Cảnh báo lỗi SNMP không get được,Kiểm tra cấu hình,Telegram + báo bộ phận liên quan
DAEMON-4-RPD_BGP_NEIGHBOR_STATE_CHANGED,warn,critical,Neighbor của BGP bị thay đổi trong quá trình thiết lập phiên BGP gây ra rớt phiên BGP ,Xem lại cấu hình mạng,Telegram 
DAEMON-4-RPD_ISIS_LDP_SYNC,warn,emergency,Giao thức IS-IS và LDP mất đồng bộ,Xác định tại sao mất đồng bộ giữa IS -IS và LDP,Tạo SC + báo bộ phận liên quan
DAEMON-4-RPD_ISIS_LSPCKSUM,warn,info,Cảnh báo quá trình checksum giữa IS-IS và LDP bị lỗi sẽ gây ra các gói tin truyển giữa router sẽ bị gián đoạn,Dựa vào tần suất mà thông báo cho sysadmin,Tạo SC + báo bộ phận liên quan
DAEMON-4-RPD_KRT_KERNEL_BAD_ROUTE,warn,info,"Khi khởi động,quá trình định tuyến không thể định tuyến được route do route trên không còn gây ra sẽ 1 số route không nhận ra và đưa vào bản định tuyến",Dựa vào tần suất mà thông báo cho sysadmin,Tạo SC + báo bộ phận liên quan
DAEMON-4-RPD_L2VPN_REMOTE_SITE_COLLISION,warn,info,2 site trùng site ID,Xem lại cấu hình site ID,Telegram
DAEMON-4-RPD_MPLS_LSP_BANDWIDTH_CHANGE,warn,info,Băng thông của MPLS LSP bị thay đổi,"Đây là thông báo , không phải lỗi",Telegram
DAEMON-4-RPD_MPLS_LSP_CHANGE,warn,info,MPLS LSP bị thay đổi,"Đây là thông báo , không phải lỗi",Telegram
DAEMON-4-RPD_MPLS_LSP_DOWN,warn,info,MPLS LSP bị DOWN,"Đây là thông báo , không phải lỗi",Telegram
DAEMON-4-RPD_MPLS_LSP_SWITCH,warn,info,MPLS LSP bị thay đổi giữa đường chính và đường dự phòng,"Đây là thông báo , không phải lỗi",Telegram
DAEMON-4-RPD_MPLS_LSP_UP,warn,info,Nhãn MPLS LSP đã có và có thể gửi nhận traffic,"Đây là thông báo , không phải lỗi",Telegram
DAEMON-4-RPD_MPLS_PATH_DOWN,warn,critical,Path của MPLS bị DOWN,Kiểm tra lại cấu hình,Telegram + báo bộ phận liên quan
DAEMON-4-RPD_MPLS_PATH_UP,warn,critical,Path của MPLS UP,Kiểm tra lại cấu hình,Telegram
DAEMON-4-RPD_MPLS_REQ_BW_NOT_AVAILABLE,warn,info,RSVP bị thất bại trong quá trình thiết lập đường đi và yêu cầu băng thông,Kiểm tra lại cấu hình,Telegram
DAEMON-4-RPD_RSVP_BACKUP_DOWN,warn,critical,RSVP dự phòng bị down khi xảy ra sự cố RSVP bị 1 vấn đề nào đấy thì dẫn đến traffic bi mất,Kiểm tra cấu hình RSVP backup,Telegram + báo bộ phận liên quan
DAEMON-4-RPD_RSVP_BYPASS_UP,warn,info,Ngưỡng bảo vệ liên kết RSVP đã được thiết lập ,"Đây là thông báo, không phải lỗi",Telegram
DAEMON-4-RPD_RSVP_NBRDOWN,warn,info,Các node trung gian của giao thức RSVP  down.,"Cảnh báo về sysadmin, kiểm tra hệ thống những node down",Telegram
DAEMON-4-RPD_RSVP_NBRUP,warn,info,Các node trung gian RSVP up,"Cảnh báo về sysadmin, kiểm tra lại những node đã up",Telegram
DAEMON-4-RPD_SCHED_CALLBACK_LONGRUNTIME,warn,info,Mô-đun chỉ định của quy trình giao thức định tuyến (rpd) đã chạy quá lâu,"Module sẽ giảm hiệu suất khi hoạt động, cần cảnh báo về sysadmin để theo dõi thêm",Telegram
DAEMON-4-RPD_SCHED_CUMULATIVE_LONGRUNTIME,warn,critical,Thông báo khi một số module của quá trình định tuyến đã không hoạt động trong thời gian quá lâu,"Module sẽ giảm hiệu suất khi hoạt động, cần cảnh báo về sysadmin để theo dõi thêm",Telegram
DAEMON-4-RPD_SCHED_MODULE_LONGRUNTIME,warn,critical,Thông báo khi một số module của quá trình định tuyến hoạt động trong thời gian quá lâu,"Module sẽ giảm hiệu suất khi hoạt động, cần cảnh báo về sysadmin để theo dõi thêm",Telegram
DAEMON-4-SNMP_TRAP_LINK_DOWN,warn,info,SNMP chủ động tiến hành tạo ra linkDown trap vì interface được chỉ định đã thay đổi trạng thái thành down,"Do interface có cảnh báo down, cảnh báo về sysadmin",Telegram
DAEMON-4-UI_MASTERSHIP_EVENT,warn,info,"Một số thành phần nền tảng định tuyến dự phòng sử dụng một hệ thống master / standby, trong đó thành phần master đang hoạt động và chế độ chờ không hoạt động nhưng đã sẵn sàng để đảm nhận vai trò làm chủ. Người dùng đã chỉ định đã thực hiện thao tác được chỉ định để sửa đổi sự quản lý thành phần.","Đây là thông báo, không phải lỗi",Telegram
DAEMON-4-UI_REBOOT_EVENT,warn,info, Khởi động lại theo yêu cầu của người dùng chỉ định.,Cảnh báo hệ thống bị reboot và người dùng đang truy cập về sysadmin,Telegram
DAEMON-4-VRRPD_NEW_BACKUP,warn,info,Thông báo khi một interface được chỉ định trở thành VRRP Backup,"Đây là thông báo, không phải lỗi",Telegram
DAEMON-4-VRRPD_NEW_MASTER,warn,info,Thông báo khi một interface được chỉ định trở thành VRRP Master,"Đây là thông báo, không phải lỗi",Telegram
INTERACT-3-UI_COMMIT_ROLLBACK_FAILED,error,critical,"Lỗi cấu hình sau khi commit confirm vài phút nhưng không confirm, hệ thống không tự động rollback lại cấu hình cũ","Cảnh báo về sysadmin, kiểm tra và cấu hình lại hệ thống",Telegram
INTERACT-4-UI_COMMIT_COMPLETED,warn,info,Các thay đổi đối với cấu hình ứng viên đã được thực hiện thành công.,"Đây là thông báo, không phải lỗi",
INTERACT-4-UI_RESTART_EVENT,warn,info,restart hệ thống thành công,"Đây là thông báo, không phải lỗi",
INTERACT-4-UI_RESTART_FAILED_EVENT,warn,info,restart hệ thống thất bại,"Đây là thông báo, không phải lỗi",
KERN-3-KERN_ARP_DUPLICATE_ADDR,error,critical,"Trùng địa chỉ IP, MAC","Cảnh báo về sysadmin, có thể clear bảng ARP",Telegram
USER-3-DH_SVC_MULTICAST_FAILURE,error,critical,Dịch vụ multicast thất bại,"Đây là thông báo, không phải lỗi",
USER-3-DH_SVC_SENDMSG_FAILURE,error,critical,Dịch vụ gửi tin nhắn thất bại,"Đây là thông báo, không phải lỗi",
USER-3-EVENTD_CONFIG_CHANGE_FAILED,error,critical,Thực hiện thay đổi cấu hình thất bại,"Đây là thông báo, không phải lỗi",Telegram
USER-3-EVENTD_CONFIG_CHANGE_SUCCESS,error,info,Thực hiện thay đổi cấu hình thành công ,"Đây là thông báo, không phải lỗi",Telegram
